task_name gold_standard_file model model_configuration metric ranking absolute_total relative_total
Classification Cities NB - accuracy 1 2 2
Classification Cities KNN K=3 accuracy 1 2 2
Classification Cities C45 - accuracy 1 2 2
Classification Cities SVM C=0.001 accuracy 0 2 2
Classification Cities SVM C=0.01 accuracy 0 2 2
Classification Cities SVM C=0.1 accuracy 0 2 2
Classification Cities SVM C=1.0 accuracy 1 2 2
Classification Cities SVM C=10.0 accuracy 1 2 2
Classification Cities SVM C=100 accuracy 1 2 2
Classification Cities SVM C=1000 accuracy 1 2 2
Classification MetacriticMovies NB - accuracy 1 2 2
Classification MetacriticMovies KNN K=3 accuracy 1 2 2
Classification MetacriticMovies C45 - accuracy 1 2 2
Classification MetacriticMovies SVM C=0.001 accuracy 0 2 2
Classification MetacriticMovies SVM C=0.01 accuracy 0 2 2
Classification MetacriticMovies SVM C=0.1 accuracy 1 2 2
Classification MetacriticMovies SVM C=1.0 accuracy 1 2 2
Classification MetacriticMovies SVM C=10.0 accuracy 1 2 2
Classification MetacriticMovies SVM C=100 accuracy 1 2 2
Classification MetacriticMovies SVM C=1000 accuracy 1 2 2
Classification MetacriticAlbums NB - accuracy 0 2 2
Classification MetacriticAlbums KNN K=3 accuracy 0 2 2
Classification MetacriticAlbums C45 - accuracy 0 2 2
Classification MetacriticAlbums SVM C=0.001 accuracy 0 2 2
Classification MetacriticAlbums SVM C=0.01 accuracy 0 2 2
Classification MetacriticAlbums SVM C=0.1 accuracy 0 2 2
Classification MetacriticAlbums SVM C=1.0 accuracy 0 2 2
Classification MetacriticAlbums SVM C=10.0 accuracy 0 2 2
Classification MetacriticAlbums SVM C=100 accuracy 0 2 2
Classification MetacriticAlbums SVM C=1000 accuracy 0 2 2
Classification AAUP NB - accuracy 1 2 2
Classification AAUP KNN K=3 accuracy 1 2 2
Classification AAUP C45 - accuracy 1 2 2
Classification AAUP SVM C=0.001 accuracy 0 2 2
Classification AAUP SVM C=0.01 accuracy 0 2 2
Classification AAUP SVM C=0.1 accuracy 0 2 2
Classification AAUP SVM C=1.0 accuracy 1 2 2
Classification AAUP SVM C=10.0 accuracy 1 2 2
Classification AAUP SVM C=100 accuracy 1 2 2
Classification AAUP SVM C=1000 accuracy 1 2 2
Classification Forbes NB - accuracy 1 2 2
Classification Forbes KNN K=3 accuracy 1 2 2
Classification Forbes C45 - accuracy 1 2 2
Classification Forbes SVM C=0.001 accuracy 0 2 2
Classification Forbes SVM C=0.01 accuracy 0 2 2
Classification Forbes SVM C=0.1 accuracy 1 2 2
Classification Forbes SVM C=1.0 accuracy 1 2 2
Classification Forbes SVM C=10.0 accuracy 1 2 2
Classification Forbes SVM C=100 accuracy 0 2 2
Classification Forbes SVM C=1000 accuracy 1 2 2
Regression Cities LR - root_mean_squared_error 1 2 2
Regression Cities KNN K=3 root_mean_squared_error 1 2 2
Regression Cities M5 - root_mean_squared_error 1 2 2
Regression MetacriticMovies LR - root_mean_squared_error 1 2 2
Regression MetacriticMovies KNN K=3 root_mean_squared_error 1 2 2
Regression MetacriticMovies M5 - root_mean_squared_error 1 2 2
Regression MetacriticAlbums LR - root_mean_squared_error 0 2 2
Regression MetacriticAlbums KNN K=3 root_mean_squared_error 0 2 2
Regression MetacriticAlbums M5 - root_mean_squared_error 0 2 2
Regression AAUP LR - root_mean_squared_error 1 2 2
Regression AAUP KNN K=3 root_mean_squared_error 1 2 2
Regression AAUP M5 - root_mean_squared_error 1 2 2
Regression Forbes LR - root_mean_squared_error 1 2 2
Regression Forbes KNN K=3 root_mean_squared_error 1 2 2
Regression Forbes M5 - root_mean_squared_error 1 2 2
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 1 2 2
Clustering citiesAndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 1 2 2
Clustering citiesAndCountries_cluster DBSCAN metric=cosine homogeneity_score 1 2 2
Clustering citiesAndCountries_cluster DBSCAN metric=cosine completeness_score 1 2 2
Clustering citiesAndCountries_cluster DBSCAN metric=cosine v_measure_score 1 2 2
Clustering citiesAndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 1 2 2
Clustering citiesAndCountries_cluster DBSCAN metric=cosine clustering_accuracy 0 2 2
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 0 2 2
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 1 2 2
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 1 2 2
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 1 2 2
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 1 2 2
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 1 2 2
Clustering citiesAndCountries_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 0 2 2
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 1 2 2
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 1 2 2
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 1 2 2
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 1 2 2
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 1 2 2
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 1 2 2
Clustering citiesAndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0 2 2
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 1 2 2
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 1 2 2
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 1 2 2
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 1 2 2
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 1 2 2
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 1 2 2
Clustering citiesAndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 0 2 2
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine adjusted_rand_index 0 2 2
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine adjusted_mutual_info_score 1 2 2
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine homogeneity_score 1 2 2
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine completeness_score 1 2 2
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine v_measure_score 1 2 2
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine normalized_mutual_info_score 1 2 2
Clustering cities2000AndCountries_cluster DBSCAN metric=cosine clustering_accuracy 0 2 2
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_rand_index 1 2 2
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" adjusted_mutual_info_score 1 2 2
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" homogeneity_score 1 2 2
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" completeness_score 1 2 2
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" v_measure_score 1 2 2
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" normalized_mutual_info_score 1 2 2
Clustering cities2000AndCountries_cluster KMeans "metric=enclidean, n_clusters=2" clustering_accuracy 1 2 2
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 1 2 2
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 1 2 2
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" homogeneity_score 1 2 2
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" completeness_score 1 2 2
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" v_measure_score 1 2 2
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 1 2 2
Clustering cities2000AndCountries_cluster "Agglomerative clustering" "metric=cosine, n_clusters=2" clustering_accuracy 1 2 2
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_rand_index 1 2 2
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" adjusted_mutual_info_score 1 2 2
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" homogeneity_score 1 2 2
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" completeness_score 1 2 2
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" v_measure_score 1 2 2
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" normalized_mutual_info_score 1 2 2
Clustering cities2000AndCountries_cluster "Ward hierarchical clustering" "metric=cosine, n_clusters=2" clustering_accuracy 1 2 2
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine adjusted_rand_index 1 2 2
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine adjusted_mutual_info_score 1 2 2
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine homogeneity_score 1 2 2
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine completeness_score 1 2 2
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine v_measure_score 1 2 2
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine normalized_mutual_info_score 1 2 2
Clustering citiesMoviesAlbumsCompaniesUni_cluster DBSCAN metric=cosine clustering_accuracy 1 2 2
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" adjusted_rand_index 1 2 2
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" adjusted_mutual_info_score 1 2 2
Clustering citiesMoviesAlbumsCompaniesUni_cluster KMeans "metric=enclidean, n_clusters=5" homogeneity_score 1 2 2
